"County 
(by population size) ",Type of Law,"Population
(2023)",Area,City,"Report Category 
(type of incident reported)","Notes 
(explanation of ordinances with dates on when proposed/created/enforced)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Placerville ,Past Ordinance,"6-19-4: UNLAWFUL CAMPING:
   (A)   Camping On Public Property:
      1.   Except as may be permitted within municipal parks by the Director of Community Services, or his or her designee, it is unlawful to camp upon any public property owned by the City, including, without limitation, streets, sidewalks, parking lots, parking structures, easements, open space, parks, cemeteries, real property within or below one hundred feet (100') above the ordinary high water mark of any lake, waterway, river, stream, pond, or reservoir, or corporation yards.
      2.   Except as otherwise permitted under the Placerville Municipal Code, it is unlawful for any person to sleep between ten o’clock (10:00) P.M. and five o’clock (5:00) A.M. in any vehicle parked on any public street, alley way, or parking area, or any privately owned parking area used for the parking of customers of any business enterprise without the consent of the owner of such business enterprise when there is available overnight shelter.
   (B)   Camping On Private Property:
      1.   It is unlawful to camp upon private property within the city except as otherwise provided in this section.
      2.   This section shall not apply to persons camping upon their own land or to persons camping with the written consent of the owner of the land, provided that such written consent is in their possession at the time and is shown upon demand of any peace officer and is not otherwise Placerville Municipal Code. No person shall camp, or permit to camp, on private property for a period of time exceeding seven (7) consecutive days without an interruption of at least seven (7) consecutive non-camping days. For purposes of this section, camping for any portion of a day shall count as a full camping day.
   (C)   City Manager Permit:
      1.   The city manager may, as provided in section 6-19-9 of this chapter, issue a temporary permit to allow camping on public or private property in connection with a special event.
   (D)   Violations:
      1.   A violation of this section is a misdemeanor. In addition to the remedies set forth in Penal Code section 370, the city attorney may institute civil or administrative actions to abate a public nuisance under this chapter.
(Ord. 1702, 1-14-2020; amd. Ord. 1722, 9-24-2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta County,General Law,"180,366","3,786 sq mi
(9,806 km2)",,Proposed Ordinance,"Shasta County is planning a new approach to address homelessness following the Supreme Court's decision in June 2024 that allows bans on outdoor sleeping:
1. County officials are discussing plans to address homelessness, including potential penalties for sleeping on public property or camping illegally.
2. The county is considering adding more treatment facilities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Redding ,Proposed Ordinance,"Redding has revised its anti-camping ordinance to comply with legal requirements while still allowing enforcement. The city claims the Good News Rescue Mission always has available shelter space, which they use as justification for enforcing the ordinance.

New Enforcement Policy (as of August 21, 2024):
1. Reduced notice period for encampment removal from 48 hours to 24 hours.
2. Implemented a three-strike system for repeat offenders.
3. Focuses on reducing the number and size of encampments.

Enforcement Practices:
1. Redding Police Department uses a database to determine who can legally be cited for camping, considering factors such as shelter availability and individual eligibility.
2. Citations for illegal camping are issued sparingly, only when other options are ineffective and shelter space is available.

Nur Pon Open Space:
1. The city has invested over $5 million in grant funds to improve this area, which had been a site of homeless encampments.
2. Recent changes to operational hours have facilitated the removal of encampments from the site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shasta Lake,Proposed Ordinance,"AT HOME Shasta Plan: A collaborative effort between Shasta County, Redding, Anderson, and Shasta Lake.

Focuses on five objectives: Fiscal Responsibility, Homeless Management Information System, Navigation/Day Resource Center, Choice, Accountability, Incentives and Crime, and Focus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Statistics,"Jan. 2025 statistics show: Increase in Homelessness:
- Shasta County has seen an 18% increase in homelessness, aligning with the national trend.
- The Good News Rescue Mission reported an 18% increase in the use of their emergency shelter services in 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial County,General Law,"179,057","4,175 sq mi
(10,813 km2)",El Centro ,"Past Ordinance, Anecdote/Interview","As current of November 6, 2024, El Centro City Code prohibits camping in parks, streets, and any public areas.
News on January 29, 2024 reported a policy for locking public restroom in El Centro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calexico,"Proposed Ordinance, Past Ordinance","CC_Agenda_03-05-2025_Item is a meeting agenda for 03/05/2025, which explicitly talks about the Grants Pass decision. As it discussed, the only regulations for Calexico county is prohibiting camping in any city park or playground under code 9.18.020. For the meeting on 03/05/2025, the proposed ordinance, ""Ordinance Regulating Camping on Public and Private Property,"" covers both public and private properties, and it allows limited exceptions, such as for private residential properties with consent and during special events or emergencies. Penalities include fines, potential misdemeanors for repeated offenses, public nuisance, and confiscation of personal property left unattended on public property. The Ordinance will take effect 30 days after adoption. (Will follow up on 03/05/2025). Follow up on March 13, reported on March 11, the city voted unanimously for the first reading of the proposed ordinance. The second reading and adoption is now scheduled in March 19, 2025 on the regular meeting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calipatria,Statistics,"From the 2035 plan made in September 2013 (pp 18, 22-23), there was extremely low incidence of homeless persons reported in Calipatria. From the Housing Element 2021-2029 (p 33), 0.3% of population are homeless in Calipatria assesed in 2019. On May 23, 2023, a city meeting agenda noted that they were working on graffiti and homelessness and were looking for volunteers, but not specific details were mentioned.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Brawley,Past Ordinance,"Passed on 12/21/2021, Sec. 19A.8.2. prohibits camping in public areas, which the City deems it as unlawful and a public nuisance. Sec. 19A.8.3. prohibits storage of personal property in public areas, and Sec. 19A.8.4. states the chief of polic could impound the personal property pursuant to the previous section. The personal property would be hold for at least 90 days under Sec. 19A.8.6., and owner may claim under Sec. 19A.8.7. Personal property unclaimed would be used by the City or sold via auction under Sec. 19A.8.8.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Holtville,Past Ordinance,"It appears that the only relevant City Code is the Curfew prohibiting minors from loitering under Chapter 9.64, passed October 25, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Imperial,Past Ordinance,"Ordinance 820 submitted on 5/27/2022 proposed the regulations on camping and storage of personal properties in public areas. It seems not being adopted. 
News from October 20, 2022 states that the city needs enforcement of the city ordinances to remove homeless individuals from parks. 
As current of 03/04/2025, the Imperial City Code, under 14-23, empowers the City to declare of Weeds, Rubbish, Refuse and Dirt to be Public Nuisances, Resolution. The city council may declare by resolution as public nuisances, and abate: (a) All weeds growing upon the streets, sidewalks, or private property in the city. (b) All rubbish, refuse, and dirt upon parkways, sidewalks, or private property in the city.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Westmorland,Statistics,"There seems to be no regulations on camping, loitering etc. There are statistics on the homeless population from page 19 to page 22 in the Housing Element draft. The city's homeless population is primarily unsheltered individuals without makeshift accommodations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera County,General Law,"162,858","2,138 sq mi
(5,537 km2)",Chowchilla,"Past Ordinance, Anecdote/Interview","Passed 11/14/2017, 9.05.030 of the Chowchilla Municipal Code deems it an unlawful and a public nuisance for any person to camp, occupy camp facilities, or use camp paraphernalia on both public and private properties. 9.05.040 prohibits the storage of personal property on public properties, or private properties without owner's written consent.
A meeting on October 22, 2024 of the City Council, a heartfelt plea for compassion and action resonated as a community member expressed deep anger over the death of a homeless woman in a local park.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Madera,"Past Ordinance, Anecdote/Interview","Passed 12/07/2005, § 4-14.02 of the Madera Municipal Code deems it unlawful and public nuisances for any person to camp, occupy camp facilities, or use camp paraphernalia on both public and private properties. § 4-14.03 prohibits the storage of personal property on public properties, or private properties without the owner's written consent.
News from August 15, 2024 stated that Madera Police Chief wanted to propose updating the city's anti-encampment rules to prohibit unauthorized groups from using public parks, on the condition that the park is unusable for others. News from December 21, 2024 stated the same Police Chief planned to return to the City Council in January or February, 2025 with a proposal. No proposal was found yet on March 5, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings County,General Law,"152,682","1,390 sq mi
(3,600 km2)",,Anecdote/Interview,New facility by the Kings Community Action Center Organization with 27 rooms; residents will typically spend around 90 days at the transitional living center as they gather the proper documents to apply for long-term housing; there are other plans to open similar facilities like this one later in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Anecdote/Interview, Statistics",Kings County Homelessness Collaborative discussed Grant's Pass in their July 2024 meeting; focused on that the homeless population in King's County is much smaller than GP's 2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hanford ,"Proposed Ordinance, Policy Change","The Hanford City Council adopted an ordinance Tuesday night that severely restricts camping in public areas, and up to six months in jail or a $1,000 fine for violating [MEANS KINGS COUNTY JOINED Fresno, Madera and Tulare counties for a four-county Central Valley advocate group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lemoore,Proposed Ordinance,"The City of Lemoore introduced an ordinance that builds on existing camping restrictions; the city already has prohibitions in place regarding camping in parks, but this ordinance would add an extra layer of restrictions because the surrounding cities are putting in similar ordinances and they want to get ahead of potential influx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,General Law,"133,985","3,573 sq mi
(9,254 km2)",,Statistics,"1,573 homeless individuals were counted on the night of Jan. 22 at the point-in-time count in Humboldt County.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Proposed Ordinance,Humboldt is one of the county's that SF wants to bus homeless people to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Proposed Ordinance, Past Ordinance","Appr. August 20, 2024; effective September 20, 2024; basically approves affordable/emergency housing options like tiny houses [below is an example of their potential]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Eureka ,Anecdote/Interview,Betty Chinn’s Blue Angel Village--made of 5 shipping containers with on-site common facilities like a bathroom and a dining area where residents are fed;can house 40 people; 90 day program; has existed since 2016.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa County,General Law,"133,216","754 sq mi
(1,953 km2)",Napa ,Anecdote/Interview,"The City of Napa cleared out a homeless encampment at Kennedy Park. The residents are being asked to move to a fenced area, just a few hundred yards away from where they are now.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Napa ,Proposed Ordinance,An update to the city of Napa’s policy on homeless encampments proposes creating a committee to address the issue and outlines procedures for determining when and how encampments should be cleared.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Napa ,Proposed Ordinance,"Housing omnibus bill (may have already passed) would simplify rules fpr concstruction of ADUs, smaller lot requirements, more housing shelters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Napa ,Past Ordinance,"Public sidewalks, accessways and streets, including but not limited to rights-of-way underneath or adjacent to said sidewalks, accessways and streets, and other public areas within jurisdictional boundaries of the unincorporated area, should be readily accessible and available to residents, the public at large, and county maintenance and emergency crews. The use of these areas for camping purposes or storage of personal property interferes with the rights of others to use the areas for which they were intended, and also subjects those persons using such areas to substantial health and safety risks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada County,General Law,"102,037","958 sq mi
(2,481 km2)",Nevada City ,Past Ordinance,"The camping ordinance states that a person can not sleep on public or private property without permission from law enforcement or the city council. The punishment for violating the camping ordinance the first time is $100; the second offense inside of 12 months is $200; the third offense inside of 12 months is $500, and the fourth offense is a misdemeanor, according to Foss. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Truckee,Anecdote/Interview,"Jan. 14, the Board of Supervisors voted to apply for a grant to purchase the Hope Ridge Home, a shelter that would provide 44 permanent supprotive housing beds. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Truckee,,The Board of Supervisors on Tuesday approved an ordinance allowing tiny homes on wheels to be used as permanent residences. The goal is to provide an affordable housing option for residents and address the housing crisis in the county. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter County,General Law,"97,948","603 sq mi
(1,562 km2)",Live Oak,Past Ordinance,Current city municipal code (§8.28.050) prohibits unlawful camping (e.g. no camping in public parks). No other updates could be found.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yuba City ,Past Ordinance,Current city municipal code (§5-23.050) prohibits unlawful camping (e.g. no camping in public parks). No other updates could be found. Can't sleep overnight in parks or recreational areas (§9-2.19).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yuba City ,Anecdote/Interview,"Yuba City Police Chief Brian Baker said that Yuba City maintains a similar camping ordinance, and individuals are typically given 72 hours to abate a property unless there is an immediate health and safety risk. The city’s municipal code states that public property and right-of-ways must be readily available for all residents, and camping on these facilities interferes with residents’ right to use such areas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino County,General Law,"89,108","3,509 sq mi
(9,088 km2)",,Past Ordinance,Nov. 2020 ordinance 4475 against camping on public property; very standard ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Anecdote/Interview,Mendocino County Homeless Services continuum of care exists to aid the homeless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba County,General Law,"85,722","630 sq mi
(1,632 km2)",Marysville ,Past Ordinance,"The City of Marysville's Municipal Code Chapter 7.05 addresses regulations concerning camping and the storage of personal property in public spaces:(passed November 12, 2019 )

(Sections 7.05.010 & 7.05.020):Camping or storing personal property, including items like tents or sleeping bags, is prohibited in the following areas unless a permit is obtained:
- Parks
- Streets
- Publicly owned parking lots or areas
Penalties for Violations (Section 7.05.040):
Violations are classified as misdemeanors with escalating penalties:
- **First Offense:** Up to a $1,000 fine, 90 days imprisonment, or both.
- **Second Offense (within five years):** Same penalties, with a mandatory minimum of a $100 fine and one day in jail.
- **Third or Subsequent Offense (within five years):** Same penalties, with a mandatory minimum of a $500 fine and five days in jail.
Courts may assign community service in lieu of fines if the individual is unable to pay.
**Exemptions for Recreational Vehicles (Section 7.05.050):**
Recreational vehicles parked on residential streets for less than 24 hours are exempt from these regulations.
**Permitting Process (Section 7.05.060):**
The Chief of Police can issue permits for camping or storage in restricted areas if certain conditions are met, such as adequate sanitation and minimal disturbance to others. Permits are limited to a maximum of seven days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Marysville ,Anecdote/Interview,"The ordinance also bans camping at the airport south of Marysville, cemeteries and any county right of way — such as roadway shoulders, alleys and highways — and bans storing personal belongings on virtually any public property. Residents will be given 48-hour notice before their property is removed and stored for 90 days for retrieval.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wheatland,Past Ordinance,"The **City of Wheatland Ordinance No. 501** establishes regulations prohibiting **camping and personal storage** on public and private property to maintain cleanliness, public safety, and accessibility. Below is a summary of the key provisions:
1. Prohibition of Camping (Sections 9.24.040 & 9.24.050)**
- Camping is **not allowed** on any **public property** (e.g., parks, streets, parking lots, levees, or utility areas).
- It is **illegal** to **sleep in vehicles** parked on public streets or alleys between sunset and sunrise.
- Camping on **private property** open to the public (e.g., business parking lots) is prohibited **unless**:
  - The person is the **owner or tenant** of the property.
  - They are **family members** or **have written permission** from the owner.

2. Restrictions on Daytime Camping (Section 9.24.060)**
- In public areas where overnight camping is not explicitly banned, all camping structures must be removed **30 minutes after sunrise** and cannot be set up **until 30 minutes before sunset**.

3. Personal Property Storage (Section 9.24.070)**
- **Storing personal belongings** (e.g., tents, bags) in public areas is prohibited if it **blocks sidewalks, streets, or city operations**.
- **Property stored unlawfully** may be **impounded** by the city, and owners must remove their belongings **within 48 hours of notice**.

4. Impoundment and Removal Process (Sections 9.24.080 - 9.24.120)**
- **Advance notice** must be posted before impounding personal property.
- **Property owners** have **45 days** to reclaim their belongings before they are disposed of.
- If property poses a **health hazard** (e.g., biohazardous waste), it can be **immediately seized and destroyed**.

5. Penalty for Violations (Section 9.24.160)**
- Any violation of this ordinance is considered a **misdemeanor**, subject to legal penalties.

6. Special Event Permits (Section 9.24.150)**
- The city manager may **grant temporary permits** for camping at **special events** (e.g., marathons, scout activities).
This ordinance **strictly limits homeless encampments** while allowing some flexibility for special circumstances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito County,General Law,"68,175","1,389 sq mi
(3,597 km2)",Hollister ,Past Ordinance," The Unlawful Camping Ordinance (Chapter 9.40, passed 2018) aims to keep public and private spaces clean, accessible, and safe, while allowing for temporary exceptions for special events.

 Key Provisions:
1. Purpose (9.40.010)  
   - Camping or storing personal property in public spaces negatively impacts health, safety, and accessibility.  
   - Camping on private property without consent or proper sanitation is also restricted.  
   - The ordinance does not interfere with lawful uses of private or public property.

2. Definitions (9.40.020)  
   - Camping: Using an area for sleeping or living, including laying down bedding.  
   - Camp Facilities: Tents, huts, shopping carts, vehicles, or other temporary shelters.  
   - Camp Paraphernalia: Sleeping bags, blankets, hammocks, cooking items, and similar materials.  

3. Prohibited Acts (9.40.030)  
   - Camping is banned on all public and private property unless explicitly permitted.  
   - Temporary camping on private residential property (for up to two nights) is allowed with owner consent.  
   - It is illegal to wash in public fountains, urinate, or defecate in public spaces.

4. Violations & Penalties (9.40.040)  
   - Misdemeanor offense with fines up to $1,000 per violation plus storage and transportation fees.  
   - Instead of jail, violators may be taken to social service facilities (mental health, housing, or substance abuse treatment).  

5. Permits for Special Events (9.40.050 - 9.40.060)  
   - The City Manager can issue temporary permits for special events like youth programs, marathons, or scout activities.  
   - Permits must be posted at the campsite and can be revoked if they jeopardize public health or safety.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,San Juan Bautista,Past Ordinance,"The San Benito County Camping Ordinance (Ordinance No. [number missing]) introduces regulations  in 2024 banning the use of certain public rights-of-way for sleeping or living accommodations to protect public health, safety, and welfare.
Sleeping or living in public rights-of-way (such as sidewalks, streets, and parks) is banned.
Public property cannot be used for setting up temporary or permanent shelters.
Storage of personal property in these areas is also prohibited.
Violators may face fines or removal from prohibited areas.Law enforcement has discretion to issue warnings or citations. The County may impound personal belongings left in public spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake County,General Law,"67,878","1,258 sq mi
(3,258 km2)",Clearlake,Past Ordinance,Prohibited camping on private property. Violaton as an infraction or a misdemeanor. Adopted in 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lakeport,Past Ordinance,Prohibited camping overnight in any public parklands. Adopted in 1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lakeport,Past Ordinance,Prohibited camping on Vacant lots. Adopoted in 1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lakeport,Proposed Ordinance,"The Lakeport City Council considered a new ordinance to restrict “loitering” in and about public restrooms, as proposed by the police department at Tuesday’s council meeting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama County,Charter,"64,896","2,951 sq mi
(7,643 km2)",Corning,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Red Bluff ,Past Ordinance,"prohibited to camp, lodge, loiter or tarry overnight without the express permission of the city. Adopoted in 1961.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Red Bluff ,Proposed Ordinance,the Red Bluff City Council voted to close the approved homeless camp at Dog Island Park.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tehama,Statistics,"This year’s survey revealed a total count of 304 homeless persons within Tehama County, as opposed to 267 in 2021 and 288 in 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tehama,Past Ordinance,"City of Tehama doesn't have any ordinance re anticamping. Tehama County restricts camping only in Agri-tourism areas(Adopoted in 2017) and prohibits to loiter, lie, sleep or camp on Tehama County owned property, within one hundred feet of the Tehama County Jail or any building connected thereto, violation as a misdemeanor(Adopted in 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne County,General Law,"54,204","2,236 sq mi
(5,791 km2)",Sonora,Past Ordinance,"Camping not limited to tents and includes use of bedrolls and bedding
Sonora, Cal. Code § 9.56.020 (2017).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sonora,Past Ordinance,"Camping on public property prohinited at all times of day
Sonora, Cal. Code § 9.56.030 (2017).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sonora,Past Ordinance,"Doesn't mention abatement. Cease and desist order gives 5 days to vacate. Progressive fines for repeated infractions within 1 year ($100, $200, $500). Third infraction is a misdemeanor.
Sonora, Cal. Code § 9.56.060 (2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sonora,Anecdote/Interview,"Aug. 2024
Sonora City Administrator state city will continue current enforcement of clearing encampments in ""high fire severity zones and within 25 feet of critical infrastructure,"" but city has met to ""determine impacts"" of Grants Pass. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras County,General Law,"46,565","1,020 sq mi
(2,642 km2)",Angels Camp,Past Ordinance,"Camping not limited to tents and includes use of bedrolls and bedding
Angels Camp, Cal. Code § 12.24.020 (2024).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Angels Camp,Past Ordinance,"Camping and storage of property on public property is a public nuisance 
Angels Camp, Cal. Code § 12.24.030 (2024).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Angels Camp,Past Ordinance,"Violation is a misdemeanor and property. After receiving notice from city, each day that order to abate is not followed is separate infraction 
Angels Camp, Cal. Code §§ 12.24.060 (2024), 1.16.100.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou County,General Law,"42,905","6,287 sq mi
(16,283 km2)",Dorris,Past Ordinance,Prohibited CAMPING ON PUBLIC OR PRIVATE PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dunsmuir,Past Ordinance,"prohibited overnight camping in park. Enforcement and Penalty. Adopted in 2015
Prohibited loitering in some of the designated areas. Penalty. Adpoted in 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Etna,Past Ordinance,prohibited loitering. Adpoted in 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fort Jones,Past Ordinance,"includes Camping as Public Nuissance. Notice of Public nuisance and order to abate, fail to abate leads to penalites. Adopted in 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Montague,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mount Shasta,Past Ordinance,camping in public property and storage of personal property in public places are prohibited. adopted in 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tulelake,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Weed,Past Ordinance,Prohibited use of trailer for living or sleeping in any place in the city. Adopted in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yreka,Past Ordinance,Prohibited camping and storage of property in public places. Abatement and Penalty. Adopted in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador County,General Law,"41,811","606 sq mi
(1,570 km2)",Amador City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ione,Past Ordinance,Prohibited camping at Howard Park. ADopted in 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jackson,Past Ordinance,Prohibited camping on private property and public property. violation of it is declared to be a public nuisance. Adopted in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Plymouth,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sutter Creek,,no ordinances re camping/loitering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen County,General Law,"28,861","4,558 sq mi
(11,805 km2)",Susanville,Proposed Ordinance,County is set to revisit an ordinance that provides the County Administrative Officer and the sheriff the authority to permit camping on public property if deemed necessary (exact timeline tbd). This is after county supervisors came under attack at the board’s January 16th meeting after the proposed camping ordinance landed on the supervisors’ desks for approval. the Camping General Plan Amendment was approved through the Planning Commission.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn County,General Law,"28,129","1,315 sq mi
(3,406 km2)",Orland,,"Orland does not appear to have any existing or proposed ordinances directly addressing camping, sleeping outside, tents, or homelessness generally.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Willows,,"Willows does not appear to have any existing or proposed ordinances directly addressing camping, sleeping outside, tents, or homelessness generally.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte County,General Law,"26,589","1,008 sq mi
(2,611 km2)",Crescent City,Past Ordinance,"Prohibited camping on any street, any public sidewalk, any alleyways, any public passageways, any publicly owned landscaped agrea or greenbelts, any parking lots, any private property. Storage of personal property in public parks are also prohibited. Enforcement and Penalty - gulty of a misdemeanor. (1) a fine not exceeding one hundred dollars for a first violation; (2) a fine not exceeding two hundred dollars for a second violation; (3) a fine not exceeding five hundred dollars for each additional violation of this provision. A person is guilty of a separate offense for each and every day during which a violation occurs. Adopted in 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
